,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1,BEDJA_BEDAWI,Africa,19,36,NA,bej,NA,Afro-Asiatic
2,BEJA,Africa,18,36,NA,bej,NA,Afro-Asiatic
3,BEJA_2,Africa,18,36,NA,bej,NA,Afro-Asiatic
4,AWJILAH,Africa,29,21,NA,auj,NA,Afro-Asiatic
5,AYT_SEGHROUCHEN,Africa,33.33,-4.67,NA,tzm,NA,Afro-Asiatic
6,BENI_SNOUS_WESTERN_ALGERIAN_BERBER,Africa,34.62,-1.64,NA,rif,NA,Afro-Asiatic
7,CHAOUI,Africa,35,7,NA,shy,NA,Afro-Asiatic
8,CHENOUA,Africa,36.59,2.2,NA,cnu,NA,Afro-Asiatic
9,FIGUIG,Africa,32.5,-1.5,NA,tzm,NA,Afro-Asiatic
10,FOQAHA,Africa,27.83,16.35,NA,swn,NA,Afro-Asiatic
11,GHADAMES,Africa,30.13,9.5,NA,gha,NA,Afro-Asiatic
12,GHADAMES_2,Africa,30.13,9.5,NA,gha,NA,Afro-Asiatic
13,GHOMARA,Africa,35.31,-4.96,NA,gho,NA,Afro-Asiatic
14,JEBEL_NEFUSA,Africa,31.86,11.79,NA,jbn,NA,Afro-Asiatic
15,KABYLE,Africa,36.05,5,NA,kab,NA,Afro-Asiatic
16,KABYLE_GREATER_KABYLIA_AT_MANGELLAT,Africa,36.05,5,NA,kab,NA,Afro-Asiatic
17,NAFUSI,Africa,32,12,NA,jbn,NA,Afro-Asiatic
18,OUARGLA_BERBER,Africa,31.92,5.33,NA,oua,NA,Afro-Asiatic
19,SENED,Africa,34.47,9.44,NA,sds,NA,Afro-Asiatic
20,SENHAJA_DE_SRAIR,Africa,34.91,-4.56,NA,sjs,NA,Afro-Asiatic
21,SENHAYI,Africa,34.45,-4.18,NA,sjs,NA,Afro-Asiatic
22,SIWA_BERBER,Africa,29.17,25.5,NA,siz,NA,Afro-Asiatic
23,SIWI,Africa,29.17,25.5,NA,siz,NA,Afro-Asiatic
24,TAMAHAQ_TAHAGGART,Africa,23,6,NA,thv,NA,Afro-Asiatic
25,TAMAHAQ_TAHAGGART_2,Africa,23,6,NA,thv,NA,Afro-Asiatic
26,TAMAJEQ_TAYART_AIR,Africa,16,8,NA,thz,NA,Afro-Asiatic
27,TAMASHEQ,Africa,14.05,-0.25,NA,taq,NA,Afro-Asiatic
28,TAMASHEQ_2,Africa,19,-1,NA,taq,NA,Afro-Asiatic
29,TAMAZIGHT_CENTRAL_ATLAS_AYT_IZDEG,Africa,33.2,-4.4,NA,tzm,NA,Afro-Asiatic
30,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Africa,33.2,-4.4,NA,tzm,NA,Afro-Asiatic
31,TAMAZIGHT_CENTRAL_ATLAS_NTIFA,Africa,33.2,-4.4,NA,tzm,NA,Afro-Asiatic
32,TARIFIT_BENI_IZNASSEN,Africa,34.05,-4,NA,rif,NA,Afro-Asiatic
33,TARIFIT_GUELAIA,Africa,34.5,-4,NA,rif,NA,Afro-Asiatic
34,TASHELHIT_IDA_USEMLAL,Africa,29.53,-9.61,NA,shi,NA,Afro-Asiatic
35,TAZNATIT,Africa,29.11,0.02,NA,grr,NA,Afro-Asiatic
