embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
10,34,10,3,0.21010180229386372,3.729936975953284,0.27908158336753425,3.787491038508036,0.2702476827561119,10
59,33,11,4,0.42539754468838936,3.723059277184478,0.27931305483141383,3.789592110047089,0.2649894346528123,8
229,46,61,4,0.08254330879761357,3.690708069984388,0.28423361054214213,3.7530545553460666,0.2713383629537659,3
133,34,2,2,0.07895615333746847,3.6705744491726517,0.2823290537387846,3.72373766049605,0.2701802050206197,5
269,545,6,2,0.05583061599733019,3.681987788094079,0.2838123803367585,3.7349973660619913,0.2700695638276512,4
6,378,17,1,0.23989864082971518,3.741684306994813,0.26921329785771964,3.8059248752471087,0.26288161875351235,11
37,604,29,3,0.2761919107527486,3.6988422418174354,0.2842736410938553,3.752819432529955,0.2701820167944802,6
772,977,5,1,0.3982178769939731,3.75143921337213,0.2754248837865287,3.8074094518010133,0.26395631236131034,4
5,113,1,2,0.03519129755347844,3.763770670287968,0.26888023959037566,3.8168340108623084,0.2605609563153603,21
20,494,65,4,0.2809093550724392,3.708896916110448,0.2759674339582688,3.7722956648349575,0.265944930945134,7
235,811,7,2,0.40328339546386055,3.6852466240910005,0.28055166675925597,3.7388010596057653,0.27238834218972213,3
5,121,2,2,0.06895019937930012,3.7338984904572006,0.2780735319663876,3.8018805380227896,0.2692567253999297,8
4,94,1,2,0,3.954528455116509,0.25460480020131454,4.020846358344666,0.2455983653913561,10
5,247,4,2,0.2562233753362136,3.7588229199467627,0.27441489865282004,3.822405732081692,0.26503131042006506,8
4,273,3,2,0.37317711121080055,3.802808539601853,0.2609082238227346,3.874264851759209,0.25600149443445774,9
6,83,1,4,0.013728820294221677,4.3836723001628135,0.18724981285642014,4.4463310372170035,0.18499877161082567,5
29,367,31,4,0.3264778068027458,3.726394952304116,0.2753974744970061,3.7818887515538724,0.26610867878361216,5
14,654,14,4,0.2824051371500097,3.722008081199247,0.2802936051024851,3.777441765442762,0.27014019516995336,9
62,147,8,1,0.47530231972671905,3.743938798307002,0.27687860859981145,3.808506047859551,0.2639787818911661,2
17,474,5,3,0.13106550240621606,3.7020234039946285,0.27617271205547866,3.7585658572032794,0.2681481783989503,7
48,944,15,2,0.4029100950599441,3.71579865212298,0.27958319267251946,3.76297557060964,0.2702432848042786,5
26,79,3,3,0.3260402629005509,3.726169437833597,0.27105643201977814,3.780014151519247,0.26560861489758086,5
40,120,4,1,0.1291745310413212,3.658014911527227,0.28724028733137513,3.714002183892627,0.2743562421003783,10
5,79,1,4,0.0015865346482999937,3.74280805933758,0.28056669619034535,3.7985053487534612,0.26994429244274987,11
19,63,2,3,0.11709876397287117,3.7199906969922454,0.28072237332970923,3.786133738557535,0.2703306066593262,3
4,467,83,4,0.13552346902523998,3.781863766919743,0.2755828064898226,3.8466849739878373,0.26465319802692094,6
393,734,56,4,0.02810652031096572,3.675904328755422,0.2800598567806427,3.7350302132316378,0.266283852156338,5
60,412,72,2,0.22332646486831292,3.67603650144738,0.2818529805395395,3.740104614288581,0.2702335684235746,4
656,284,89,3,0.15270977969101152,3.664727359384741,0.2864873328304871,3.731046136281705,0.2704760353869774,3
174,414,1,2,0.09120017019372378,3.6790265638514965,0.28240256772016076,3.7352695334617074,0.2696754610329509,2
38,513,3,1,0.4700944571897309,3.7242954884656188,0.27769982501658935,3.7835586089608904,0.26450993583599414,5
886,521,38,1,0.20287250476002067,3.700301642751444,0.28186212875736133,3.7634533736746576,0.2681239555785378,6
61,928,15,1,0.35128272770261265,3.7030678932419105,0.269365686564021,3.755898312180373,0.2605075560851609,4
134,118,1,1,0.034440632643665925,3.6990210548479228,0.2764210867372914,3.740440840083006,0.2687316942089857,2
16,34,3,4,0.22493876455224787,3.7318317150505846,0.2767034340108952,3.790229826674534,0.26903993680417787,7
414,71,4,2,0.44583955257844005,3.7050055070006676,0.27822471825682615,3.7615222226688867,0.26814681952655833,3
27,120,1,4,0.18947691143381878,3.7033266264565814,0.283972986355642,3.7654301929658103,0.2689547145879822,5
501,664,16,2,0.2051163241480501,3.6836679114846143,0.28329559591934084,3.729615123192168,0.2703047197044187,5
234,80,26,3,0.4414488472591746,3.700954285278401,0.28161673689728517,3.758254424373597,0.2701961668428025,5
48,415,18,2,0.09921667840073822,3.6766240323410257,0.28358945635810057,3.7334526918788424,0.2722837467699333,5
4,902,40,1,0.45573330692878844,3.9323938601543413,0.24673838253927208,3.9960598736094464,0.24077931177824577,4
650,234,1,2,0.037486648130903744,3.688337118994427,0.26976701905515227,3.751931692542157,0.2600594396661096,1
358,551,3,3,0.058830577480723456,3.685241946760074,0.2761598394727887,3.7309010260462623,0.26631642658062216,2
8,227,4,2,0.07987652493196534,3.705204590201879,0.28093935323801655,3.76375711490245,0.2696494882254265,8
6,95,3,2,0.2343139701101118,3.739184546450356,0.2735255839649121,3.81241919531829,0.2669047821961727,15
4,188,5,2,0.15389532389658417,3.7579969684373657,0.2813200512063721,3.821623615621412,0.2622209621479047,9
523,125,56,3,0.33301526949248106,3.6719296233207706,0.2813837337063117,3.7184488249778513,0.27155868174345194,6
4,88,2,2,0.10446625750142674,3.7317186787501173,0.2820809272574704,3.7902372316083888,0.2680178953170543,11
960,733,35,2,0.06752793466252272,3.688575434493742,0.28117134261312354,3.7361555652338496,0.26887448523583757,3
4,62,4,2,0.19201263654973078,3.803509187410341,0.2699041521259093,3.8737142923331374,0.2527408633046928,6
