	seed	fold	length	none	onehot
0	0	0	5.609808802017178	3.7104306	3.6698818
1	0	1	5.517306264959571	3.7815819	3.7392046
2	0	2	5.55712591545946	3.679535	3.6511686
3	0	3	5.499312609563397	3.7521608	3.7345738
4	1	0	5.609808802017178	3.7226613	3.6823893
5	1	1	5.517306264959571	3.7834513	3.7546496
6	1	2	5.55712591545946	3.6902182	3.6579432
7	1	3	5.499312609563397	3.7574825	3.7329717
8	2	0	5.609808802017178	3.7192187	3.6785936
9	2	1	5.517306264959571	3.770123	3.7540166
10	2	2	5.55712591545946	3.6798606	3.6769552
11	2	3	5.499312609563397	3.7648509	3.754108
12	3	0	5.609808802017178	3.7069488	3.676396
13	3	1	5.517306264959571	3.7495103	3.739338
14	3	2	5.55712591545946	3.6746786	3.6701746
15	3	3	5.499312609563397	3.790032	3.7533045
16	4	0	5.609808802017178	3.7226398	3.6952066
17	4	1	5.517306264959571	3.7741203	3.75773
18	4	2	5.55712591545946	3.6801634	3.682622
19	4	3	5.499312609563397	3.7632253	3.7669997
20	5	0	5.609808802017178	3.7173874	3.682893
21	5	1	5.517306264959571	3.751016	3.734917
22	5	2	5.55712591545946	3.6778028	3.663586
23	5	3	5.499312609563397	3.7486753	3.7451274
24	6	0	5.609808802017178	3.7030413	3.6794958
25	6	1	5.517306264959571	3.7751307	3.7351701
26	6	2	5.55712591545946	3.7007885	3.6602554
27	6	3	5.499312609563397	3.7568293	3.7466712
28	7	0	5.609808802017178	3.7153192	3.686133
29	7	1	5.517306264959571	3.7676728	3.7482314
30	7	2	5.55712591545946	3.6791677	3.6695857
31	7	3	5.499312609563397	3.7657576	3.7569637
32	8	0	5.609808802017178	3.7111409	3.676267
33	8	1	5.517306264959571	3.7887342	3.746193
34	8	2	5.55712591545946	3.6873791	3.660471
35	8	3	5.499312609563397	3.7485766	3.73408
36	9	0	5.609808802017178	3.7095828	3.6874924
37	9	1	5.517306264959571	3.7782602	3.7409604
38	9	2	5.55712591545946	3.6673236	3.662562
39	9	3	5.499312609563397	3.7833982	3.732728
40	10	0	5.609808802017178	3.711508	3.696591
41	10	1	5.517306264959571	3.7799819	3.7381134
42	10	2	5.55712591545946	3.6836286	3.6664872
43	10	3	5.499312609563397	3.758945	3.7516906
44	11	0	5.609808802017178	3.7210712	3.676155
45	11	1	5.517306264959571	3.765519	3.739148
46	11	2	5.55712591545946	3.6919494	3.6570225
47	11	3	5.499312609563397	3.7767391	3.743325
48	12	0	5.609808802017178	3.7182043	3.700309
49	12	1	5.517306264959571	3.7606807	3.756898
50	12	2	5.55712591545946	3.6802595	3.6795545
51	12	3	5.499312609563397	3.7604759	3.765119
52	13	0	5.609808802017178	3.7221467	3.6938128
53	13	1	5.517306264959571	3.7659438	3.7528782
54	13	2	5.55712591545946	3.6780019	3.6829128
55	13	3	5.499312609563397	3.7723584	3.7573862
56	14	0	5.609808802017178	3.7142367	3.6869726
57	14	1	5.517306264959571	3.7722573	3.7663097
58	14	2	5.55712591545946	3.6835775	3.656529
59	14	3	5.499312609563397	3.7592695	3.7640595
60	15	0	5.609808802017178	3.7225933	3.6847205
61	15	1	5.517306264959571	3.7621496	3.7422795
62	15	2	5.55712591545946	3.6865852	3.6707044
63	15	3	5.499312609563397	3.771211	3.7555974
64	16	0	5.609808802017178	3.7118237	3.6813822
65	16	1	5.517306264959571	3.7638092	3.7683387
66	16	2	5.55712591545946	3.6756704	3.6607015
67	16	3	5.499312609563397	3.7620234	3.7535388
68	17	0	5.609808802017178	3.7205863	3.6989725
69	17	1	5.517306264959571	3.7751517	3.7522345
70	17	2	5.55712591545946	3.6827908	3.664115
71	17	3	5.499312609563397	3.7678928	3.7566237
72	18	0	5.609808802017178	3.7105188	3.6735058
73	18	1	5.517306264959571	3.7665052	3.7369268
74	18	2	5.55712591545946	3.6795788	3.6703022
75	18	3	5.499312609563397	3.8094099	3.781455
76	19	0	5.609808802017178	3.713673	3.6990247
77	19	1	5.517306264959571	3.764074	3.7541347
78	19	2	5.55712591545946	3.6895041	3.6730316
79	19	3	5.499312609563397	3.787725	3.7693071
80	20	0	5.609808802017178	3.7261627	3.6748202
81	20	1	5.517306264959571	3.7713637	3.7242835
82	20	2	5.55712591545946	3.694798	3.6621103
83	20	3	5.499312609563397	3.7612925	3.7340145
84	21	0	5.609808802017178	3.7136903	3.6851573
85	21	1	5.517306264959571	3.7689066	3.7553868
86	21	2	5.55712591545946	3.6806536	3.6829553
87	21	3	5.499312609563397	3.76847	3.761752
88	22	0	5.609808802017178	3.7160375	3.6972487
89	22	1	5.517306264959571	3.7539272	3.7435231
90	22	2	5.55712591545946	3.6787755	3.6835608
91	22	3	5.499312609563397	3.7528405	3.751838
92	23	0	5.609808802017178	3.7152462	3.682919
93	23	1	5.517306264959571	3.7551942	3.7434366
94	23	2	5.55712591545946	3.6829245	3.6715784
95	23	3	5.499312609563397	3.7497687	3.738603
96	24	0	5.609808802017178	3.713848	3.6957786
97	24	1	5.517306264959571	3.7592711	3.7493126
98	24	2	5.55712591545946	3.6759052	3.6817074
99	24	3	5.499312609563397	3.7673733	3.7726917
