embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
147,184,58,1,0.42611653433729857,3.984752360765031,0.2645911864605956,4.056121074335597,0.2453404140436501,2
256,321,92,2,0.014152962636249045,3.9743916132243706,0.2684431294763227,4.031681380984902,0.25162867453197074,2
135,603,31,1,0.0558015653325164,4.00489881830419,0.25869262145616434,4.04672911482054,0.2556645598259847,1
20,346,54,1,0.3285945153052113,4.014211175810115,0.26174649294581376,4.067581806452061,0.24997511356728191,4
193,108,39,4,0.09871064225106652,3.987798255634626,0.2648973526031338,4.045836558734696,0.25549482321121614,1
773,166,23,1,0.40376316192473927,3.9647429772178118,0.2659634241813893,4.044574126599279,0.2479933943337403,5
23,88,5,4,0.2762668444261063,4.0215967153942165,0.250085176310937,4.096404982976007,0.24402315090643256,2
11,380,21,3,0.2862639566814956,4.004253911361391,0.25440308242090803,4.092022084692385,0.2453482098350817,8
4,356,13,1,0.00681875087207362,4.033781112665791,0.264704372461488,4.08384028691327,0.25315644659504716,5
18,1014,3,1,0.008150389362096833,4.020052336101226,0.264954642550746,4.075116207922529,0.2481376091824483,2
7,155,7,3,0.5,4.107339252858156,0.24807250547811482,4.200888425044714,0.239005878795465,5
103,74,3,4,0.30561768212908896,3.94853253206904,0.2740608318551525,4.025650809332874,0.2564544580680231,3
4,65,15,4,0.31737185220463465,4.049896798963171,0.25119326785196633,4.1351881678764055,0.23824176742199848,10
4,588,64,1,0.28334706840341345,4.122217363763993,0.21798121325016145,4.165477302901407,0.22507110872559866,13
19,171,68,3,0.16532313441277402,3.9869097253089043,0.2712601717998517,4.045037684954984,0.255267517526159,5
571,890,6,3,0.1795277730601706,3.9870464551112312,0.2646354944119427,4.055250190186922,0.24754050262640198,1
499,242,7,3,0.11908432810949304,3.996276188412209,0.2606158231347886,4.026638022236461,0.257968543401104,2
153,301,73,4,0.17986696833599514,3.955827562080963,0.2588452809048023,4.0525293335411945,0.24898314526914933,1
111,156,5,2,0.3700115427819903,3.9323978004062097,0.26987992818797474,4.014102604814936,0.25218360685161895,5
7,60,2,2,0.3460877089362492,4.037919606114135,0.25793881782935585,4.123404563642624,0.24349690746626618,5
65,84,26,4,0.321031887417068,3.9457895508343115,0.2745871427649937,4.022591766836804,0.2555657148215456,4
25,130,30,4,0.2370943543365056,3.9729586175152427,0.26624551554289144,4.056744644050762,0.25680822121576524,3
5,229,86,2,0.33851503869884914,4.103140871889224,0.26317065815140966,4.175461174301144,0.24337721141745705,3
516,76,3,3,0.32888305437843546,3.986404831509979,0.26295002235387094,4.0222997054650795,0.25674764720330706,2
27,104,1,3,0.4941112547941841,4.011198180721137,0.24574749909633492,4.0863551592524034,0.24021138751006046,4
413,519,23,3,0.08537362979188168,3.9782495486124905,0.2613408043334955,4.062493078461749,0.25264292243217434,3
8,120,3,3,0.305759857840122,4.007010267694264,0.25784556520358654,4.080081724275082,0.24785020840886887,7
21,44,4,4,0.010977788351971718,3.974763919452272,0.2636245512223259,4.049131966351882,0.2556804238803363,5
182,246,3,2,0.07534582999043932,3.9737391242261175,0.25450774877788707,4.0208841048942086,0.2415670769206251,2
38,372,21,3,0.1302482094267336,4.005401968197847,0.26505911466854054,4.056125111442191,0.25240718232356624,2
85,186,46,4,0.0659427051795789,3.974755139815119,0.26243237249111967,4.019058588370111,0.2487719578013742,2
9,521,1,2,0.431049320129818,4.029673112611735,0.25562752859611915,4.111831666271566,0.24202085238151047,6
663,96,6,3,0.13690521021746738,3.9562237200152888,0.2598663915348696,4.025345938547583,0.24557178541814273,2
109,91,3,2,0.27215070058821894,3.9670395039785564,0.2655765877885899,4.02952104448565,0.2554235679642842,3
770,40,4,1,0.021591686658814502,4.055752071589976,0.24704167134796126,4.096597093819113,0.24199434260946995,4
26,52,44,4,0.20931734693031484,3.9833738993533143,0.26531971521081577,4.074256612184441,0.24926534213090654,4
620,128,5,3,0.31286412954011944,3.969674037725124,0.25780536403724047,4.017990063749352,0.25204751061755215,3
61,43,2,3,0.0747822634668926,3.9632578250451864,0.2596389968933059,4.028909030346255,0.25401068901512264,3
492,902,13,4,0.2957986907239753,3.987297595517492,0.264378678548103,4.020205766853174,0.25888566392024936,2
487,356,7,4,0.2698770793386936,3.9796174355485343,0.2631574916414417,4.035489780146468,0.2505354606356221,1
11,210,1,1,0.038793099294793354,4.028493081539233,0.2493803420707253,4.067659210466688,0.2424144911610216,3
12,234,7,2,0.38799297777426667,3.99988250599532,0.25090843797171186,4.087369971918449,0.23953426895631588,4
71,405,5,4,0.023662992964917418,3.978855648513453,0.2742335753941381,4.050753984955468,0.2513801079007686,1
114,132,83,2,0.0802118470236593,3.945729809383269,0.27000969952543447,4.007319170848295,0.2527452316145213,2
929,371,48,1,0.08660075111668858,4.0185237334364325,0.25564489009414687,4.075757730609459,0.2469110570594865,3
301,503,2,3,0.17543421353472483,3.962097458517655,0.25661577665496793,4.042604029048941,0.24278678855715644,2
8,961,2,1,0.09560452439444023,4.033403814340695,0.2522976957054199,4.093801879850892,0.2538876736458586,4
151,743,12,4,0.2682101202656058,3.953142527482403,0.2769068102770223,4.02983665601086,0.25334399663265045,1
14,223,27,4,0.4914503288534504,4.0016526727163395,0.26571027163935296,4.083553005196303,0.2531003132530389,11
67,377,7,4,0.23313461470938956,3.965327427637086,0.2734930640165482,4.062816027677066,0.25373685432802245,1
