	concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations	alphas	significant-0.01	significant-0.05	significant-0.10
0	0	I	3605.7585270404943	4.048617972299821	3.574170695077977	3.426143236233158	0.1480274584827276	0.0457921090236756	0.0	100000	0.01, 0.05, 0.1	True	True	True
8	8	all	3955.6239027455526	6.5719660460138725	3.986566779153226	3.953711307967199	0.0328554811108708	0.0062872314585096	0.0	100000	0.01, 0.05, 0.1	True	True	True
74	74	water	4128.890314101646	4.549720949417049	3.760678647403052	3.727447220011175	0.0332314261621976	0.0097696315566026	0.0	100000	0.01, 0.05, 0.1	True	True	True
87	87	green	3919.893594959568	7.285468981788309	4.23201583195443	4.180009605826465	0.0520062053898072	0.0102757897362074	0.0	100000	0.01, 0.05, 0.1	True	True	True
73	73	star	4071.2145220312086	6.626579518078892	4.083766473048092	4.043215837262318	0.0405506355576154	0.0077186850422953	0.0	100000	0.01, 0.05, 0.1	True	True	True
89	89	white	4446.316025082993	6.257441744992932	3.96162951886896	3.9340421680507776	0.027587353916384	0.0064386965130244	0.0	100000	0.01, 0.05, 0.1	True	True	True
97	97	round	4304.707354658816	7.584994909360319	4.051581443718691	3.990544629024649	0.0610368132409119	0.013473605723579	0.0	100000	0.01, 0.05, 0.1	True	True	True
77	77	sand	4400.34628844033	6.298080437471802	3.982430696496989	3.959167598933236	0.0232631132465123	0.0048509174239844	0.0	100000	0.01, 0.05, 0.1	True	True	True
94	94	full	3976.180433415685	6.589777086366816	4.025638718134806	3.9885678869501273	0.0370708360015341	0.0073867029206702	0.0	100000	0.01, 0.05, 0.1	True	True	True
46	46	knee	4121.8522143971	6.954349648807454	4.060004398350301	4.003984210338224	0.0560201846022102	0.013066795119862	0.0	100000	0.01, 0.05, 0.1	True	True	True
44	44	claw	4408.175071888996	7.222261199221156	4.090013956273083	4.051394955725841	0.0386189871591803	0.008596515917589	0.0	100000	0.01, 0.05, 0.1	True	True	True
1	1	you	3693.335228423105	4.0995734250160725	3.6087260990147794	3.461116235414123	0.1476098598553344	0.0441511457188349	0.0	100000	0.01, 0.05, 0.1	True	True	True
93	93	cold	4499.290867178728	6.46725043143919	4.065086681271434	4.037667553926676	0.0274191300854249	0.0050008183806536	0.0	100000	0.01, 0.05, 0.1	True	True	True
88	88	yellow	4000.566622726617	7.156702129431924	4.124243568794444	4.080354573253468	0.0438889984673047	0.0091668736459215	0.0	100000	0.01, 0.05, 0.1	True	True	True
98	98	dry	4499.740996379464	6.430995386946182	4.022644302569045	3.989311133043126	0.0333331634641638	0.006291764365739	1e-05	100000	0.01, 0.05, 0.1	True	True	True
26	26	bark	4369.162086423688	6.961426460671348	4.080294206191274	4.052587340388397	0.027706854931615	0.0050819150859542	1e-05	100000	0.01, 0.05, 0.1	True	True	True
43	43	tongue	4144.855366249503	6.041627928236292	3.99858716592737	3.9771445178306526	0.0214426452912482	0.0036909251581608	4e-05	100000	0.01, 0.05, 0.1	True	True	True
65	65	come	4038.2254487414302	4.9139321058297645	3.7880994809148634	3.767071030864515	0.0210284544120738	0.006427096431402	0.0001	100000	0.01, 0.05, 0.1	True	True	True
3	3	this	4086.885400122791	4.536186904060235	3.6572278846895214	3.617133590140055	0.0400942976938533	0.0117994008143746	0.00013	100000	0.01, 0.05, 0.1	True	True	True
79	79	cloud	4227.547922279522	6.550335103181608	3.957632682793699	3.933256019944911	0.0243766561575584	0.0047391669220977	0.00014	100000	0.01, 0.05, 0.1	True	True	True
60	60	die	4052.746551296651	5.475576090316938	3.9908180806266658	3.9778416032289807	0.0129764737669989	0.0014750731747751	0.00018	100000	0.01, 0.05, 0.1	True	True	True
