language_id	macroarea	item_id	concept_id	Latitude	Longitude	family_size	length	none	onehot	mi-onehot	unc-onehot	iso_code	p_value	n_permutations	n_concepts
0	Africa	213792.23076923078	49.02797202797203	19.0	36.0	18274.0	5.300699300699301	3.668062724475523	3.6485978538461548	0.019464874800419592	0.004554507886363639	bej	0.004546	1000000	143
1	Africa	195918.5128205128	45.35897435897436	18.0	36.0	18274.0	5.743589743589744	3.902333269230769	3.8803177025641022	0.022015540717948714	0.005887214123076922	bej	0.154757	1000000	39
2	Africa	200547.95918367346	46.51020408163265	18.0	36.0	18274.0	4.530612244897959	3.468872363265306	3.468604346938775	0.00026802123387755276	-0.00047584926061224444	bej	0.495315	1000000	49
3	Africa	199419.60606060605	46.0	29.0	21.0	18274.0	5.515151515151516	4.071490148484847	4.029059003030303	0.04243115951212121	0.011404625563636365	auj	0.013262	1000000	33
4	Africa	201857.36363636365	46.42424242424242	34.61999999999999	-1.6400000000000003	18274.0	5.181818181818182	4.738085827272726	4.732845778787878	0.005240072666666666	0.0012905646575757568	rif	0.418769	1000000	33
5	Africa	182823.83333333334	42.416666666666664	36.58999999999998	2.2000000000000015	18274.0	5.6875	4.571391562499999	4.574996785416667	-0.003605196406249997	-9.804704645833332e-05	cnu	0.592005	1000000	48
6	Africa	191480.09375	43.90625	32.5	-1.5	18274.0	5.125	4.168300040624999	4.143429646875	0.024870373053124995	0.0056587322178124995	tzm	0.11605	1000000	32
7	Africa	200846.44736842104	46.39473684210526	30.130000000000013	9.5	18274.0	5.184210526315789	3.994158805263158	3.9551226289473678	0.039036123139473675	0.008126842843947369	gha	0.017976	1000000	38
8	Africa	198775.375	45.925	30.130000000000017	9.5	18274.0	5.275	4.0078076750000005	3.9755800425	0.0322275876475	0.006440374386750001	gha	0.031585	1000000	40
9	Africa	201628.33333333334	46.407407407407405	35.30999999999998	-4.959999999999997	18274.0	5.0	4.099398714814814	4.040477774074073	0.058920939740740745	0.013898303949629631	gho	0.002309	1000000	27
10	Africa	203991.97297297296	47.08108108108108	36.049999999999976	5.0	18274.0	5.594594594594595	4.034212232432432	4.014949813513514	0.01926241660810811	0.0045661651470270265	kab	0.13741	1000000	37
11	Africa	201400.02631578947	46.55263157894737	36.049999999999976	5.0	18274.0	5.526315789473684	4.739455763157893	4.727753697368421	0.011702079494736839	0.0025970697281578956	kab	0.251146	1000000	38
12	Africa	202848.75	46.71875	32.0	12.0	18274.0	5.03125	4.16128275625	4.133532853125	0.02774986609375	0.0056937029687500005	jbn	0.13349	1000000	32
13	Africa	203782.7027027027	47.054054054054056	31.919999999999998	5.330000000000004	18274.0	5.648648648648648	4.589825478378377	4.589654164864865	0.0001713070459459439	-0.0004051989954054064	oua	0.495387	1000000	37
