macroarea	concept_id	token_idx	concept_name	token	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances
Africa	0	2.0	I	EOW	642.0967150408006	0.0	2.0356305224145412	1.3079025557521555	0.7277279666623848	0.40604672952379395	4	0.0	100000	1964
Africa	0	3.0	I	 	790.2666666666668	0.0	8.39373459815979	8.6863174756368	-0.2925828774770101	-0.03457114790126039	4	1.0	100000	14
Africa	0	7.0	I	*	557.775	0.0	5.622688641150792	5.80307671493954	-0.1803880737887488	-0.04759594093248631	4	1.0	100000	29
Africa	0	8.0	I	3	707.8587540279269	0.0	5.672526858647949	5.85486716105298	-0.18234030240503127	-0.034540975890055045	4	1.0	100000	113
Africa	0	10.0	I	5	570.0604938271604	0.0	7.428794127040439	7.117049812976224	0.31174431406421427	0.04269778794094728	4	0.0	100000	92
Africa	0	11.0	I	7	548.7333333333333	0.0	6.294243182076349	6.4576783498128245	-0.1634351677364773	-0.022473754523148374	4	0.99996	100000	34
Africa	0	12.0	I	8	1153.5	0.0	9.720027923583984	10.422746658325195	-0.7027187347412109	-0.0722959584340477	4	1.0	100000	2
Africa	0	13.0	I	C	507.5666666666666	0.0	7.758615779876709	8.469006689389547	-0.7103909095128377	-0.0906742697925033	4	1.0	100000	13
Africa	0	14.0	I	E	650.1859578932394	0.0	5.968334230319666	6.1823333259208635	-0.21399909560119676	-0.0449753183094163	4	1.0	100000	176
Africa	0	17.0	I	N	715.887925170068	0.0	5.915412378176	5.397159241400068	0.5182531367759314	0.08537049549713352	4	0.0	100000	109
Africa	0	19.0	I	T	545.05	0.0	8.60319972038269	9.552099657058715	-0.9488999366760253	-0.11038770783568289	4	1.0	100000	11
Africa	0	20.0	I	X	230.0	0.0	9.60315227508545	10.35186767578125	-0.7487154006958008	-0.0779655866374501	4	1.0	100000	1
Africa	0	21.0	I	Z	670.8333333333334	0.0	10.102421045303345	10.89601953824361	-0.7935984929402669	-0.07876325855882496	4	0.90701	100000	5
Africa	0	22.0	I	a	618.7687169117247	0.0	2.557953231410579	2.4346909263614274	0.1232623050491516	0.04843096139171886	4	0.0	100000	927
Africa	0	23.0	I	b	532.2724137931034	0.0	5.45351296457751	6.783172454505132	-1.3296594899276206	-0.24013156200255542	4	1.0	100000	40
Africa	0	24.0	I	c	807.0	0.0	6.921390056610107	7.720298528671265	-0.7989084720611572	-0.11268333204222314	4	1.0	100000	4
Africa	0	25.0	I	d	516.9843304843305	0.0	5.489641505957177	6.182581582073926	-0.6929400761167472	-0.12494575524921614	4	1.0	100000	35
Africa	0	26.0	I	e	545.0214591291062	0.0	4.02016008038076	4.007277343466533	0.012882736914227292	0.0006581313689944995	4	0.86514	100000	490
Africa	0	28.0	I	g	584.9888888888888	0.0	5.8103357732296	6.592555973264906	-0.7822202000353072	-0.1434514435329783	4	1.0	100000	64
Africa	0	29.0	I	h	620.4223484848484	0.0	5.293445430560546	5.724294081059369	-0.4308486504988237	-0.07844799930013117	4	1.0	100000	37
Africa	0	30.0	I	i	673.4255536659349	0.0	3.065412953862836	2.991768118078852	0.07364483578398481	0.032840578523123734	4	0.0	100000	770
Africa	0	31.0	I	j	837.3571428571428	0.0	7.632407418319157	8.100582645052954	-0.468175226733798	-0.059214572383616305	4	1.0	100000	33
Africa	0	32.0	I	k	618.573593073593	0.0	4.256005556758864	4.884773028189314	-0.6287674714304496	-0.14640847634157164	4	1.0	100000	61
Africa	0	33.0	I	l	559.0428571428572	0.0	4.818245383671352	5.838330786568778	-1.020085402897426	-0.21294197455886926	4	1.0	100000	13
Africa	0	34.0	I	m	696.860626124164	0.0	3.65281590829229	4.138437659669605	-0.48562175137731406	-0.13308575763124142	4	1.0	100000	890
Africa	0	35.0	I	n	635.92066964881	0.0	3.6115759429395826	2.9350210322374486	0.6765549107021342	0.1862497630766844	4	0.0	100000	868
Africa	0	36.0	I	o	487.5901644651645	0.0	3.899277039426067	3.987687082033635	-0.08841004260756859	-0.03353149406581017	4	1.0	100000	153
Africa	0	37.0	I	p	634.25	0.0	4.890225648880005	6.175512909889221	-1.2852872610092163	-0.2661379346437346	4	1.0	100000	3
Africa	0	39.0	I	r	804.0749999999999	0.0	4.253202044301563	4.956666861640082	-0.7034648173385195	-0.17007623220568055	4	1.0	100000	23
Africa	0	40.0	I	s	875.0961538461538	0.0	5.1551845990694485	5.805650142522959	-0.65046554345351	-0.13354593095534112	4	1.0	100000	20
Africa	0	41.0	I	t	581.5076500422655	0.0	4.3654373841699075	5.122433303069136	-0.7569959188992288	-0.17156906971431513	4	1.0	100000	109
Africa	0	42.0	I	u	583.9330452411438	0.0	4.2262716865876415	4.666236820273119	-0.4399651336854782	-0.11255628835323882	4	1.0	100000	142
Africa	0	43.0	I	v	909.0	0.0	7.476052284240723	8.664080619812012	-1.188028335571289	-0.1589111860648185	4	1.0	100000	1
Africa	0	44.0	I	w	675.4212962962963	0.0	5.485728376441532	6.025543928146362	-0.5398155517048306	-0.10762378345677322	4	1.0	100000	39
Africa	0	45.0	I	x	1006.375	0.0	6.4452211658159895	6.767235298951467	-0.3220141331354777	-0.050172859444477365	4	0.99906	100000	11
Africa	0	46.0	I	y	556.5693645879404	0.0	5.177561969303614	4.981893505323025	0.19566846398058899	0.04354289316630618	4	0.10879	100000	134
Africa	0	47.0	I	z	1034.4285714285713	0.0	10.801948070526123	12.097294466836113	-1.295346396309989	-0.12105894150294014	4	1.0	100000	9
Africa	0	48.0	I	~	498.2952380952382	0.0	3.712259847229841	4.0328425085058015	-0.32058266127596097	-0.032991869668478654	4	0.99992	100000	58
Africa	1	2.0	you	EOW	880.5439492097952	1.0	1.929699861867513	1.138489733935271	0.7912101279322419	0.4028827688846569	4	0.0	100000	1967
Africa	1	3.0	you	 	617.6111111111111	1.0	7.9079656799634295	7.894867142041524	0.013098537921905504	-9.346521169057917e-06	4	0.87002	100000	17
Africa	1	7.0	you	*	724.888888888889	1.0	5.372110711203682	5.445615079667832	-0.07350436846415202	-0.015298202724453628	4	0.93755	100000	8
Africa	1	8.0	you	3	818.6264408233276	1.0	6.01290340486767	6.139718905367668	-0.12681550049999907	-0.030221625193419605	4	1.0	100000	143
Africa	1	10.0	you	5	798.7138888888888	1.0	7.27224417814502	7.0004270460870535	0.27181713205796704	0.03694819008063251	4	0.0	100000	31
Africa	1	11.0	you	7	808.0347815764482	1.0	6.622671546504709	6.620157083554826	0.002514462949883209	0.0019312706740088838	4	0.85736	100000	61
Africa	1	12.0	you	8	1477.0	1.0	9.720027923583984	9.953339576721191	-0.233311653137207	-0.0240031875393193	4	1.0	100000	1
Africa	1	13.0	you	C	430.04285714285714	1.0	7.0415606021881105	7.499251832280839	-0.45769123009272983	-0.06437857293620566	4	1.0	100000	24
Africa	1	14.0	you	E	1258.9701388888889	1.0	6.4957064861402145	6.515879257797958	-0.020172771657743175	-0.005497278525280477	4	0.95419	100000	127
Africa	1	17.0	you	N	1098.1010989010988	1.0	5.9397439928043685	5.9925733205837854	-0.05282932777941485	-0.008688835209021499	4	0.00434	100000	96
Africa	1	18.0	you	S	387.5808823529412	1.0	7.672449161024654	8.292138071621165	-0.6196889105965109	-0.08143590091931457	4	1.0	100000	24
Africa	1	19.0	you	T	561.0888888888888	1.0	8.536618238025241	9.07478133837382	-0.5381631003485785	-0.06079904062260106	4	1.0	100000	17
Africa	1	20.0	you	X	248.0	1.0	9.204196453094482	9.761528015136719	-0.5573315620422363	-0.0618890831191602	4	1.0	100000	2
Africa	1	22.0	you	a	850.0545948616602	1.0	2.6299290992023017	2.6702120533498688	-0.04028295414756653	-0.034434742621282655	4	0.00012	100000	683
Africa	1	23.0	you	b	605.71908349027	1.0	5.1194005471738615	5.755303737333464	-0.6359031901596032	-0.11742319816894871	4	1.0	100000	93
Africa	1	24.0	you	c	287.4166666666667	1.0	6.773534854253134	6.993398507436117	-0.21986365318298334	-0.03037994114685072	4	1.0	100000	11
Africa	1	25.0	you	d	650.1936090225564	1.0	5.162694846777091	5.780962764096439	-0.618267917319348	-0.12230304746626426	4	1.0	100000	46
Africa	1	26.0	you	e	874.8022098671116	1.0	3.7932088002828475	3.732343667104151	0.06086513317869666	0.0136214189085333	4	0.51295	100000	580
Africa	1	28.0	you	g	942.6652384500745	1.0	6.011323798307465	6.39304316718324	-0.3817193688757754	-0.06432353636357285	4	1.0	100000	113
Africa	1	29.0	you	h	758.4798482169172	1.0	5.224020538711632	5.565065371052128	-0.3410448323404968	-0.06242839949944696	4	1.0	100000	79
Africa	1	30.0	you	i	886.12515330385	1.0	3.292244069099079	3.0715792165745226	0.2206648525245569	0.06976516439494058	4	0.0	100000	566
Africa	1	31.0	you	j	457.35416666666663	1.0	7.860401093959808	8.125224153200787	-0.26482305924097693	-0.03272944990914252	4	1.0	100000	18
Africa	1	32.0	you	k	1277.440417690418	1.0	4.202959037369645	4.691265091003046	-0.48830605363339996	-0.11431177176376864	4	1.0	100000	209
Africa	1	33.0	you	l	608.657142857143	1.0	4.868165063858032	5.814158010482788	-0.9459929466247559	-0.19712531410738654	4	1.0	100000	19
Africa	1	34.0	you	m	600.3911708361505	1.0	3.7407485904354005	3.7122368088304825	0.028511781604918157	0.009232012828463974	4	0.00084	100000	232
Africa	1	35.0	you	n	680.7996610827912	1.0	3.510645370469048	3.3621786748666556	0.14846669560239267	0.03746342667854459	4	0.0	100000	464
Africa	1	36.0	you	o	610.0330609712869	1.0	3.612833527131822	3.8415991367112983	-0.2287656095794762	-0.07267007320517745	4	1.0	100000	442
Africa	1	37.0	you	p	2733.5	1.0	4.997844398021698	5.7238980531692505	-0.7260536551475525	-0.1450799500908645	4	1.0	100000	4
Africa	1	39.0	you	r	861.5952380952382	1.0	4.131394227345784	5.0300332591647186	-0.8986390318189349	-0.22247525841883742	4	1.0	100000	26
Africa	1	40.0	you	s	536.8775510204081	1.0	5.045842525910358	5.818959146129842	-0.7731166202194837	-0.15737525212255704	4	1.0	100000	38
Africa	1	41.0	you	t	924.0073067632851	1.0	4.566920975815271	5.318419890660019	-0.7514989148447478	-0.1635718725343959	4	1.0	100000	202
Africa	1	42.0	you	u	801.7910654160653	1.0	4.112411068221	4.33057053941246	-0.2181594711914599	-0.06498911126854418	4	1.0	100000	319
Africa	1	43.0	you	v	831.3333333333333	1.0	7.33840865799875	7.94239075978597	-0.6039821017872203	-0.08332639752318989	4	1.0	100000	46
Africa	1	44.0	you	w	671.3522719927607	1.0	5.12631689203663	5.474232775511133	-0.3479158834745022	-0.0664553150383092	4	1.0	100000	460
Africa	1	45.0	you	x	910.1428571428572	1.0	6.44046399706886	6.735429672967819	-0.29496567589896067	-0.046670237129231275	4	0.99237	100000	15
Africa	1	46.0	you	y	777.4321977247557	1.0	4.978828108925648	4.980622417615713	-0.0017943086900656783	0.0021921045863411673	4	0.98453	100000	178
Africa	1	47.0	you	z	838.3571428571429	1.0	8.619083200182233	9.041491099766322	-0.422407899584089	-0.04942821033825155	4	1.0	100000	8
Africa	1	48.0	you	~	654.1651785714286	1.0	3.14719574624229	3.4490067012182304	-0.30181095497593996	-0.05819621853555384	4	0.99253	100000	93
Africa	2	2.0	we	EOW	823.2925977137178	2.0	1.5621595514030246	1.472174108056996	0.08998544334602875	0.056967473757100456	4	0.0	100000	1861
Africa	2	3.0	we	 	1872.6222222222223	2.0	7.889033849151046	8.016897047890557	-0.12786319873951096	-0.016171366047184655	4	0.99972	100000	16
Africa	2	7.0	we	*	981.0673076923076	2.0	5.423448848036619	5.34374036697241	0.07970848106420957	0.0007118391358817387	4	0.39018	100000	18
Africa	2	8.0	we	3	1098.2968927154195	2.0	5.101289164798668	5.307601150936213	-0.20631198613754476	-0.04575946257030936	4	1.0	100000	148
Africa	2	10.0	we	5	832.049074074074	2.0	7.752436839871937	7.6093311417985845	0.1431056980733518	0.020087103263299606	4	0.0	100000	52
Africa	2	11.0	we	7	1023.0683333333333	2.0	5.941285467810101	5.939900319046444	0.001385148763656605	0.0006332732363677708	4	0.99998	100000	53
Africa	2	12.0	we	8	577.6666666666666	2.0	9.75158178806305	9.987408995628357	-0.23582720756530762	-0.024484085787762507	4	1.0	100000	12
